event,temperature
tornad,30.495105756415665
sunny,27.57268807677604
sunny,21.149570346193542
cloudy,28.775630481405425
cloudy,26.230789412697852
cloudy,20.615141955445644
sunny,29.691250997455093
sunny,30.565307745470342
rain,20.498831352796827
sunny,26.41064069440679
sunny,29.020881255158052
sunny,28.314625506789373
sunny,25.480351509718528
sunny,29.57778888215986
cloudy,16.541185634435084
rain,23.37599210240051
cloudy,18.23377532638585
sunny,25.1427666634445
sunny,23.066954567684597
sunny,21.20015703744549
tornad,22.537620143342107
sunny,33.23619614377895
sunny,13.79067611427103
sunny,27.561969137176977
sunny,30.229897951879515
sunny,27.502465596038967
cloudy,28.080290874379887
sunny,25.06836309543086
rain,23.729182260237536
sunny,13.499811969639408
sunny,27.278969556083997
sunny,22.721238937110797
sunny,16.864571592906444
sunny,25.898080193839913
rain,32.78941613746769
sunny,19.940617737013135
sunny,28.367983429241008
sunny,27.21011599185652
sunny,20.078919321509154
sunny,19.00349291259846
tornad,19.679796507525445
rain,25.627429631948548
cloudy,31.25987627316598
sunny,24.988279540254716
cloudy,30.462200476469317
cloudy,21.287052814240653
sunny,15.79092812652329
sunny,20.55536958109619
sunny,23.20111203041161
sunny,37.78802372087276
cloudy,24.322115207724135
cloudy,26.77835608108534
sunny,25.641309181647365
sunny,33.24802658795475
sunny,17.08438761430178
rain,20.97995193501079
sunny,30.542471300562077
sunny,22.686957311277926
cloudy,33.22153719566255
rain,20.543991245226117
tornad,24.85809663908714
sunny,19.922317430858747
sunny,25.688380884408552
cloudy,28.648213739624502
sunny,19.469439278532157
sunny,22.56870285545122
cloudy,25.259904096713672
cloudy,25.492276519746913
cloudy,25.85275108120792
sunny,29.459519730373472
sunny,20.834363357807806
cloudy,33.043493028969834
sunny,18.64297137367484
cloudy,11.486131579806573
sunny,26.689830712353135
sunny,31.142761175287205
cloudy,22.04943175070558
sunny,29.24221431998143
sunny,37.695577793436
rain,30.471843157772238
tornad,29.221290127267675
sunny,21.786634208571098
cloudy,29.978917224875524
cloudy,26.340719036339422
cloudy,29.112374072185297
sunny,25.09583065788661
sunny,21.975504366104968
sunny,24.058780552887626
sunny,23.02710278249015
sunny,24.49047423982648
rain,25.36376031989073
sunny,33.3712108791941
sunny,30.181561102435168
sunny,28.23752037998775
rain,25.22143506424044
sunny,25.993297383445654
sunny,28.00526452453292
sunny,22.105513147784272
sunny,28.044646163239
sunny,30.199325546934816
tornad,16.286622708931297
sunny,20.105470974240514
sunny,28.02504800675086
sunny,31.139259680319384
sunny,25.744760733939515
rain,21.208998573329552
sunny,25.458232885680815
sunny,23.775425357757282
sunny,21.308914682033983
sunny,28.410883565452966
rain,19.315960385719773
cloudy,21.92771297209282
sunny,19.99825173356825
cloudy,21.264592370080635
sunny,23.970632792833303
sunny,18.818668847540017
sunny,31.1953463354087
sunny,24.649149009160144
sunny,25.36279458802921
sunny,22.70101547165391
tornad,18.20166621795765
cloudy,20.162880109909022
sunny,27.361555327189972
sunny,22.20631325616212
cloudy,27.337210211597437
cloudy,20.786047529180955
sunny,18.58823928689639
sunny,20.574299751012113
cloudy,20.20646389308726
sunny,29.332958172620934
cloudy,24.690381088353544
cloudy,20.723459825363058
sunny,19.0964543990467
sunny,35.090394216294044
sunny,32.16804578955103
rain,26.02959223649237
rain,25.612020002552118
sunny,27.875221182740074
cloudy,14.312777759412077
cloudy,18.448188492423107
tornad,24.707319357705664
sunny,28.437228131004453
sunny,32.24905523728129
cloudy,25.14965435539724
sunny,21.446906302669564
sunny,25.662443088399044
rain,19.41529936334711
cloudy,25.51554290443091
sunny,31.46254853427459
cloudy,23.163260049300092
rain,25.88509101326922
rain,23.654267786973993
sunny,20.30518559060493
cloudy,37.50824390556191
sunny,27.091402557335993
sunny,27.582846669558432
cloudy,22.710288533147448
cloudy,28.184334254430453
sunny,27.654843986293137
sunny,19.102427496233204
tornad,19.379044817898247
cloudy,19.295097600544274
sunny,29.65673423235829
sunny,37.515618847331524
cloudy,27.808398413513576
cloudy,25.4386318773313
sunny,25.346459520777888
sunny,22.180396042171946
sunny,21.15649234786868
sunny,21.862811574515067
sunny,20.458634345105867
sunny,24.55678586058357
cloudy,19.113640736944873
rain,19.454055527556427
sunny,22.995915304516934
sunny,30.3622114047654
cloudy,26.296539960783146
rain,26.56277910427267
cloudy,23.03108613594591
cloudy,18.54383589122184
tornad,19.167133096795617
cloudy,23.70392393900017
cloudy,21.85147399695689
sunny,25.416215387826984
cloudy,20.753982303143964
sunny,22.741994067950525
sunny,24.81399146917818
sunny,20.025679480998633
sunny,29.944503396392047
sunny,24.589797418317602
sunny,30.710314364690447
sunny,10.602038784521435
sunny,22.772958329472498
rain,25.773185732172276
cloudy,13.030700734595781
sunny,25.74786954885974
sunny,24.245220495623958
cloudy,30.789983133707928
sunny,28.52643773250728
sunny,25.494230380767437
tornad,19.414883559266137
cloudy,25.53269764636768
cloudy,32.17455155954349
sunny,16.40396658751522
cloudy,21.806896431287505
sunny,24.925054324753145
rain,26.496497251902557
cloudy,24.69833326477347
sunny,17.214546855206397
rain,31.035041794843806
rain,27.3528430650559
sunny,22.17672252123613
sunny,32.710159237525644
sunny,21.097218662456235
sunny,23.93754261352008
rain,21.213917848140206
sunny,21.447190982639484
cloudy,34.231261122517736
cloudy,28.097840103774523
sunny,21.838683203080336
tornad,26.8812777236965
sunny,27.728845319401593
cloudy,27.068169025905313
sunny,23.357076508746005
sunny,30.361338803705188
cloudy,23.809944045226196
sunny,24.71567981035
sunny,23.691859683678555
cloudy,27.234556599955095
rain,19.10100547516396
rain,19.92779181433701
sunny,29.153848701098845
sunny,26.027726944336944
cloudy,28.1286613141478
sunny,28.594834787034397
sunny,30.92684641832495
cloudy,16.36599684129692
sunny,24.62656364652578
cloudy,24.65517185430207
rain,30.927913284041413
tornad,30.57730427243539
sunny,23.678497568388682
cloudy,19.65077998927064
rain,21.135434131745903
cloudy,24.84600215527178
cloudy,16.568836474827137
sunny,26.74744542305723
sunny,25.05947878407981
sunny,21.7808227287513
sunny,25.311706147751327
sunny,18.80679408557549
sunny,23.21486278622496
cloudy,23.431756339709604
sunny,26.73166315214186
cloudy,22.833110444133887
sunny,25.099863895194314
rain,25.21644676235944
cloudy,21.709367377872525
cloudy,30.934460037180646
sunny,22.542948877775842
tornad,19.63235390089327
sunny,30.014780447027555
cloudy,24.544935450481482
sunny,21.945295964729574
sunny,23.37486448088969
cloudy,21.13806414330536
sunny,27.790123080419885
cloudy,21.89332011640769
cloudy,23.05549433897039
sunny,21.295051900125213
cloudy,23.460988858932435
rain,22.674075117629844
sunny,21.801679298045674
rain,25.04831245551332
sunny,29.87824702063984
sunny,24.574424599244928
sunny,26.08851567726141
cloudy,23.429785490835815
sunny,27.825252465566287
sunny,24.034970561636193
tornad,20.543807118752667
rain,25.801026733051913
sunny,31.770167641635137
cloudy,22.6351187083418
sunny,17.37774346915748
sunny,21.79953477564734
cloudy,19.594771950353127
sunny,23.631934500322327
cloudy,25.452909225689908
cloudy,23.65917125924865
sunny,25.090334969000505
sunny,27.38721900163211
cloudy,28.307034365163585
cloudy,20.509496670917237
sunny,26.722759988472426
sunny,21.181618608500607
sunny,27.07388562004688
sunny,22.475057785499395
sunny,24.501534758821364
rain,24.265976635649075
tornad,27.72364549780925
sunny,21.72616521798515
sunny,23.97860528557887
sunny,20.808349951952486
sunny,32.14494169007816
cloudy,33.72259520348146
sunny,31.4683336851228
sunny,24.720615059246697
cloudy,28.424320528342715
rain,33.361096060647604
sunny,27.730043227708236
sunny,26.715483162195074
sunny,25.24019662383663
sunny,25.852226804986646
rain,19.751588587184234
rain,26.098140020480493
sunny,26.549461191317373
sunny,22.735863976028185
cloudy,17.843029275161435
sunny,28.267386725338223
tornad,26.485828313200365
sunny,32.686535842335246
sunny,25.628063835149486
cloudy,26.50773864473893
sunny,24.585082579148064
sunny,28.131327691934242
sunny,25.963120295182215
sunny,26.65972509601823
cloudy,22.45977066613859
cloudy,19.4077190751672
sunny,23.405588934892087
sunny,23.114266888697934
cloudy,25.836954428454106
sunny,33.80225334615005
sunny,21.69865863063121
cloudy,24.266222421645185
sunny,33.01707095845986
sunny,24.478549829559952
sunny,31.49852888823832
sunny,38.456578413901354
tornad,22.737135191457984
sunny,25.449622674429193
cloudy,32.091989051659766
